State,Number of CoCs,"Overall Homeless, 2007","Sheltered ES Homeless, 2007","Sheltered TH Homeless, 2007","Sheltered Total Homeless, 2007","Unsheltered Homeless, 2007","Overall Homeless Individuals, 2007","Sheltered ES Homeless Individuals, 2007","Sheltered TH Homeless Individuals, 2007","Sheltered Total Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Overall Homeless People in Families, 2007","Sheltered ES Homeless People in Families, 2007","Sheltered TH Homeless People in Families, 2007","Sheltered Total Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Overall Homeless Family Households, 2007","Sheltered ES Homeless Family Households, 2007","Sheltered TH Homeless Family Households, 2007","Sheltered Total Homeless Family Households, 2007","Unsheltered Homeless Family Households, 2007","Overall Chronically Homeless Individuals, 2007","Sheltered Total Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Overall Homeless Veterans, 2007","Sheltered Total Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
OK,8,"4,221","2,154",935,"3,089","1,132","2,982","1,634",567,"2,201",781,"1,239",520,368,888,351,433,191,119,310,123,779,395,384,381,304,77
OR,8,"17,590","3,462","4,867","8,329","9,261","9,871","2,309","1,811","4,120","5,751","7,719","1,153","3,056","4,209","3,510","2,463",375,"1,031","1,406","1,057","2,829","1,087","1,742",705,571,134
PA,17,"16,220","6,445","8,296","14,741","1,479","8,229","3,525","3,407","6,932","1,297","7,991","2,920","4,889","7,809",182,"2,651",923,"1,674","2,597",54,"1,589",914,675,"1,805","1,729",76
PR,2,"4,309",546,822,"1,368","2,941","3,914",437,713,"1,150","2,764",395,109,109,218,177,116,39,41,80,36,"2,904",585,"2,319",104,31,73
RI,1,"1,372",688,635,"1,323",49,643,403,196,599,44,729,285,439,724,5,214,85,127,212,2,134,90,44,62,59,3
SC,5,"5,660","1,680","1,406","3,086","2,574","3,771","1,261",769,"2,030","1,741","1,889",419,637,"1,056",833,458,138,188,326,132,573,367,206,435,350,85
SD,1,579,269,269,538,41,268,138,97,235,33,311,131,172,303,8,108,46,58,104,4,104,79,25,108,106,2
TN,10,"11,210","3,587","2,859","6,446","4,764","8,462","2,926","1,797","4,723","3,739","2,748",661,"1,062","1,723","1,025",955,215,345,560,395,"2,767",896,"1,871","1,028",859,169
TX,18,"39,788","13,840","9,042","22,882","16,906","26,306","9,420","3,699","13,119","13,187","13,482","4,420","5,343","9,763","3,719","3,839","1,171","1,630","2,801","1,038","7,931","3,290","4,641","5,527","3,034","2,493"
UT,3,"3,011","1,551","1,147","2,698",313,"1,945","1,071",561,"1,632",313,"1,066",480,586,"1,066",0,395,120,275,395,0,801,488,313,227,202,25
VA,22,"9,746","4,323","3,244","7,567","2,179","5,523","2,568","1,224","3,792","1,731","4,223","1,755","2,020","3,775",448,"1,410",625,630,"1,255",155,"1,963",923,"1,040",848,657,191
VI,1,559,28,44,72,487,537,18,32,50,487,22,10,12,22,0,10,4,6,10,0,487,0,487,5,5,0
VT,2,"1,035",340,380,720,315,599,175,205,380,219,436,165,175,340,96,154,61,60,121,33,191,60,131,64,38,26
WA,8,"23,379","6,450","10,407","16,857","6,522","13,289","4,275","3,838","8,113","5,176","10,090","2,175","6,569","8,744","1,346","3,722",724,"2,514","3,238",484,"2,603","1,333","1,270","1,421","1,199",222
WI,4,"5,648","2,366","2,719","5,085",563,"2,403","1,179",892,"2,071",332,"3,245","1,187","1,827","3,014",231,"1,108",406,627,"1,033",75,689,468,221,466,449,17
WV,4,"2,409","1,677",470,"2,147",262,"1,915","1,551",173,"1,724",191,494,126,297,423,71,197,55,115,170,27,"1,151","1,058",93,787,760,27
WY,1,537,272,125,397,140,331,243,14,257,74,206,29,111,140,66,91,12,39,51,40,38,0,38,40,40,0
Total,461,"647,258","216,659","174,742","391,401","255,857","412,700","128,169","84,904","213,073","199,627","234,558","88,490","89,838","178,328","56,230","78,535","29,586","31,228","60,814","17,721","119,813","41,768","78,045","60,988","39,653","21,335"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
